144 264
0 1 1
0 24 1
1 56 1
1 35 1
2 13 1
2 59 1
3 4 1
3 16 1
4 5 1
4 17 1
5 6 1
5 18 1
6 7 1
6 19 1
7 8 1
7 20 1
8 9 1
8 21 1
9 10 1
9 22 1
10 23 1
11 12 1
11 25 1
12 14 1
12 26 1
13 60 1
14 15 1
14 27 1
15 16 1
15 28 1
16 17 1
16 29 1
17 18 1
17 30 1
18 19 1
18 31 1
19 20 1
19 32 1
20 21 1
20 33 1
21 22 1
21 34 1
22 23 1
22 36 1
23 37 1
24 35 1
24 61 1
25 26 1
25 38 1
26 27 1
26 39 1
27 28 1
27 40 1
28 29 1
28 41 1
29 30 1
29 42 1
30 31 1
30 43 1
31 32 1
31 44 1
32 33 1
32 45 1
33 34 1
33 47 1
34 36 1
34 48 1
35 46 1
35 62 1
36 37 1
36 49 1
37 50 1
38 39 1
39 40 1
40 41 1
41 42 1
42 43 1
43 44 1
44 45 1
45 47 1
46 51 1
46 63 1
47 48 1
48 49 1
49 50 1
51 52 1
51 64 1
52 53 1
52 65 1
53 54 1
53 66 1
54 55 1
54 68 1
55 57 1
55 69 1
56 67 1
56 46 1
57 58 1
57 70 1
58 59 1
58 71 1
59 60 1
59 72 1
60 73 1
61 62 1
61 74 1
62 63 1
62 75 1
63 64 1
63 76 1
64 65 1
64 77 1
65 66 1
65 79 1
66 68 1
66 80 1
67 78 1
67 51 1
68 69 1
68 81 1
69 70 1
69 82 1
70 71 1
70 83 1
71 72 1
71 84 1
72 73 1
72 85 1
73 86 1
74 75 1
74 87 1
75 76 1
75 88 1
76 77 1
76 90 1
77 79 1
77 91 1
78 89 1
78 52 1
79 80 1
79 92 1
80 81 1
80 93 1
81 82 1
81 94 1
82 83 1
82 95 1
83 84 1
83 96 1
84 85 1
84 97 1
85 86 1
85 98 1
86 99 1
87 88 1
87 101 1
88 90 1
88 102 1
89 100 1
89 53 1
90 91 1
90 103 1
91 92 1
91 104 1
92 93 1
92 105 1
93 94 1
93 106 1
94 95 1
94 107 1
95 96 1
95 108 1
96 97 1
96 109 1
97 98 1
97 110 1
98 99 1
98 112 1
99 113 1
100 111 1
100 54 1
101 102 1
101 114 1
102 103 1
102 115 1
103 104 1
103 116 1
104 105 1
104 117 1
105 106 1
105 118 1
106 107 1
106 119 1
107 108 1
107 120 1
108 109 1
108 121 1
109 110 1
109 123 1
110 112 1
110 124 1
111 122 1
111 55 1
112 113 1
112 125 1
113 126 1
114 115 1
114 127 1
115 116 1
115 128 1
116 117 1
116 129 1
117 118 1
117 130 1
118 119 1
118 131 1
119 120 1
119 132 1
120 121 1
120 134 1
121 123 1
121 135 1
122 133 1
122 57 1
123 124 1
123 136 1
124 125 1
124 137 1
125 126 1
125 138 1
126 139 1
127 128 1
127 140 1
128 129 1
128 141 1
129 130 1
129 142 1
130 131 1
130 143 1
131 132 1
131 3 1
132 134 1
132 4 1
133 2 1
133 58 1
134 135 1
134 5 1
135 136 1
135 6 1
136 137 1
136 7 1
137 138 1
137 8 1
138 139 1
138 9 1
139 10 1
140 141 1
140 11 1
141 142 1
141 12 1
142 143 1
142 14 1
143 3 1
143 15 1
