1025 1043
0 1 1
0 382 1
0 837 1
0 592 1
14 149 1
25 31 1
25 104 1
25 373 1
25 596 1
25 665 1
25 745 1
25 871 1
32 25 1
32 63 1
32 139 1
32 240 1
32 361 1
32 419 1
32 668 1
32 963 1
33 34 1
33 128 1
33 158 1
33 283 1
33 355 1
33 394 1
33 428 1
33 856 1
33 901 1
35 36 1
35 777 1
35 799 1
35 810 1
37 35 1
38 914 1
38 80 1
38 110 1
38 154 1
38 301 1
38 343 1
38 432 1
38 479 1
38 507 1
38 588 1
38 620 1
38 669 1
38 778 1
38 811 1
38 861 1
38 916 1
38 921 1
39 40 1
39 118 1
39 899 1
41 39 1
41 97 1
41 188 1
41 234 1
41 245 1
41 269 1
41 288 1
41 328 1
41 354 1
41 363 1
41 421 1
41 440 1
41 441 1
41 457 1
41 477 1
41 483 1
41 484 1
41 486 1
41 494 1
41 509 1
41 528 1
41 534 1
41 541 1
41 544 1
41 579 1
41 598 1
41 645 1
41 647 1
41 690 1
41 699 1
41 708 1
41 758 1
41 764 1
41 771 1
41 828 1
41 839 1
41 841 1
41 845 1
41 858 1
41 880 1
41 882 1
41 919 1
41 951 1
41 954 1
41 11 1
42 43 1
42 88 1
42 786 1
42 945 1
44 42 1
44 464 1
44 1004 1
46 47 1
46 287 1
46 643 1
46 860 1
46 947 1
46 973 1
46 1006 1
48 46 1
48 305 1
48 333 1
48 664 1
48 728 1
48 760 1
48 822 1
48 923 1
48 933 1
48 9 1
49 60 1
49 859 1
49 459 1
49 279 1
49 800 1
51 612 1
52 53 1
52 70 1
52 190 1
52 222 1
52 386 1
52 399 1
52 370 1
52 639 1
52 753 1
54 55 1
54 886 1
55 806 1
56 54 1
56 186 1
57 58 1
57 238 1
57 422 1
57 917 1
59 57 1
60 48 1
60 379 1
61 62 1
61 243 1
61 385 1
64 32 1
65 66 1
65 324 1
65 389 1
65 444 1
65 505 1
65 743 1
65 19 1
67 68 1
67 362 1
67 473 1
67 558 1
67 578 1
67 625 1
67 651 1
67 749 1
67 827 1
67 840 1
67 876 1
67 28 1
69 67 1
71 49 1
71 52 1
71 77 1
71 123 1
71 109 1
71 114 1
71 262 1
71 344 1
71 59 1
71 256 1
71 375 1
71 555 1
71 895 1
73 907 1
74 75 1
75 88 1
75 671 1
76 74 1
76 227 1
76 396 1
76 733 1
76 943 1
76 21 1
77 78 1
77 452 1
77 490 1
77 680 1
77 906 1
77 922 1
80 377 1
80 823 1
81 38 1
81 878 1
81 969 1
81 1001 1
82 93 1
82 304 1
82 570 1
82 726 1
82 759 1
82 937 1
82 33 1
82 54 1
82 61 1
82 130 1
82 345 1
82 147 1
82 384 1
82 497 1
82 533 1
82 549 1
82 562 1
82 655 1
82 706 1
82 751 1
82 832 1
82 842 1
82 866 1
83 84 1
83 193 1
83 260 1
83 624 1
83 788 1
83 825 1
83 846 1
83 1000 1
85 83 1
85 803 1
85 125 1
85 181 1
86 87 1
86 660 1
88 89 1
88 106 1
88 242 1
88 401 1
88 424 1
88 500 1
88 529 1
88 567 1
88 599 1
88 642 1
88 652 1
88 739 1
88 742 1
88 756 1
88 761 1
90 91 1
91 160 1
93 576 1
94 95 1
94 124 1
96 94 1
98 41 1
99 100 1
99 416 1
99 535 1
99 873 1
99 929 1
101 102 1
101 798 1
101 1013 1
103 101 1
103 111 1
103 221 1
103 407 1
103 525 1
103 610 1
103 761 1
103 852 1
103 875 1
103 890 1
104 82 1
104 184 1
104 894 1
107 108 1
107 121 1
109 107 1
112 113 1
112 144 1
112 365 1
112 56 1
112 432 1
112 460 1
112 640 1
112 673 1
114 112 1
114 233 1
115 126 1
115 129 1
115 142 1
115 143 1
115 274 1
115 275 1
115 350 1
115 513 1
115 602 1
115 618 1
115 829 1
115 891 1
115 953 1
115 977 1
115 978 1
115 1016 1
115 24 1
115 30 1
116 117 1
119 120 1
119 835 1
123 153 1
123 641 1
123 666 1
123 667 1
123 838 1
123 885 1
124 71 1
125 127 1
125 257 1
125 317 1
125 353 1
125 391 1
125 443 1
125 466 1
125 498 1
125 538 1
125 542 1
125 543 1
125 565 1
125 713 1
125 785 1
125 851 1
125 867 1
125 887 1
125 23 1
128 185 1
128 449 1
134 826 1
134 164 1
137 248 1
137 948 1
137 45 1
137 162 1
137 178 1
137 37 1
137 351 1
137 468 1
137 550 1
137 650 1
137 695 1
137 853 1
137 1020 1
138 115 1
143 142 1
143 350 1
143 953 1
144 142 1
144 999 1
145 146 1
145 585 1
145 653 1
145 821 1
145 877 1
147 145 1
147 383 1
147 436 1
147 609 1
147 941 1
148 150 1
149 115 1
149 670 1
149 3 1
149 79 1
149 99 1
149 426 1
149 163 1
149 180 1
149 325 1
149 450 1
149 454 1
149 199 1
149 523 1
149 621 1
149 623 1
149 634 1
149 644 1
149 796 1
149 818 1
149 864 1
151 152 1
153 151 1
153 732 1
154 155 1
154 225 1
154 334 1
154 406 1
154 499 1
154 580 1
154 911 1
154 964 1
154 986 1
156 155 1
156 675 1
157 156 1
158 22 1
159 161 1
159 511 1
160 115 1
160 615 1
160 148 1
160 159 1
160 267 1
160 272 1
160 280 1
160 285 1
160 434 1
160 646 1
160 942 1
160 979 1
160 984 1
160 991 1
160 27 1
165 134 1
166 167 1
167 278 1
168 166 1
169 170 1
170 194 1
170 367 1
170 572 1
170 696 1
170 808 1
170 830 1
170 874 1
171 182 1
172 169 1
174 527 1
176 175 1
179 659 1
181 183 1
181 357 1
184 181 1
184 18 1
184 26 1
186 187 1
186 236 1
186 423 1
186 654 1
186 940 1
189 81 1
190 191 1
190 436 1
190 476 1
190 893 1
190 13 1
193 171 1
195 196 1
195 488 1
195 590 1
195 627 1
195 718 1
195 927 1
197 198 1
197 491 1
199 197 1
200 201 1
202 200 1
202 435 1
202 816 1
202 869 1
202 908 1
204 215 1
204 930 1
205 206 1
205 802 1
207 157 1
208 207 1
209 210 1
211 209 1
211 264 1
211 306 1
211 560 1
211 721 1
212 213 1
212 423 1
212 990 1
212 1019 1
214 216 1
214 266 1
214 420 1
215 585 1
217 214 1
218 219 1
220 218 1
223 321 1
223 889 1
226 204 1
226 501 1
228 76 1
229 230 1
229 927 1
233 217 1
234 235 1
234 605 1
237 249 1
237 797 1
237 927 1
238 239 1
238 289 1
238 429 1
238 456 1
238 649 1
238 683 1
238 707 1
238 983 1
238 1011 1
239 1021 1
240 241 1
241 611 1
245 246 1
250 251 1
250 392 1
250 514 1
250 577 1
250 776 1
252 250 1
254 255 1
256 254 1
256 331 1
256 358 1
257 258 1
259 261 1
260 237 1
260 909 1
260 913 1
261 427 1
262 259 1
262 400 1
262 883 1
264 265 1
264 402 1
264 924 1
264 960 1
267 268 1
267 982 1
271 282 1
271 992 1
271 65 1
271 86 1
271 232 1
271 284 1
271 299 1
271 308 1
271 356 1
271 489 1
271 492 1
271 701 1
271 736 1
271 834 1
271 1009 1
271 7 1
272 273 1
272 277 1
272 281 1
272 573 1
272 710 1
272 955 1
279 278 1
279 521 1
279 569 1
279 574 1
279 629 1
284 791 1
285 314 1
285 445 1
286 14 1
290 289 1
290 649 1
293 271 1
294 295 1
296 294 1
296 475 1
296 1015 1
296 18 1
297 298 1
298 371 1
298 741 1
299 300 1
299 672 1
299 1008 1
301 302 1
301 336 1
301 876 1
304 315 1
304 408 1
304 564 1
304 656 1
307 211 1
309 310 1
309 672 1
309 678 1
313 470 1
314 316 1
314 524 1
314 896 1
314 968 1
314 987 1
317 318 1
319 322 1
319 462 1
319 551 1
322 323 1
325 327 1
326 337 1
329 330 1
331 332 1
333 684 1
333 819 1
335 334 1
337 748 1
337 136 1
337 85 1
337 506 1
337 843 1
337 862 1
338 339 1
340 341 1
340 478 1
340 817 1
342 340 1
344 343 1
344 604 1
344 342 1
344 414 1
344 635 1
344 741 1
344 307 1
346 347 1
346 920 1
346 1005 1
348 360 1
348 6 1
349 346 1
349 378 1
351 352 1
355 622 1
355 638 1
358 633 1
359 137 1
359 174 1
359 872 1
359 910 1
359 997 1
361 597 1
363 202 1
363 865 1
364 374 1
365 571 1
367 508 1
367 844 1
368 369 1
369 545 1
370 368 1
370 601 1
371 348 1
371 870 1
371 380 1
372 368 1
374 510 1
374 702 1
374 855 1
375 376 1
376 495 1
380 439 1
380 766 1
382 393 1
382 51 1
382 131 1
382 291 1
382 311 1
382 411 1
382 485 1
382 536 1
382 661 1
382 725 1
382 805 1
382 849 1
387 388 1
387 431 1
387 703 1
387 833 1
397 398 1
397 688 1
397 724 1
397 912 1
397 1007 1
401 556 1
401 561 1
401 784 1
402 403 1
402 405 1
402 888 1
404 415 1
404 135 1
404 559 1
404 175 1
404 247 1
404 253 1
404 729 1
404 738 1
404 767 1
404 793 1
404 931 1
404 994 1
408 409 1
408 532 1
410 472 1
410 586 1
410 755 1
412 413 1
412 674 1
414 412 1
414 632 1
414 1012 1
417 418 1
417 1002 1
420 614 1
426 404 1
426 212 1
426 311 1
426 366 1
426 568 1
426 661 1
426 686 1
429 430 1
432 433 1
432 575 1
432 691 1
437 448 1
437 957 1
438 469 1
438 794 1
438 918 1
443 705 1
445 517 1
445 897 1
447 165 1
448 857 1
450 451 1
450 932 1
454 455 1
457 458 1
459 437 1
459 177 1
459 203 1
459 205 1
459 223 1
