4475 4652
0 1 1
0 224 1
0 380 1
0 2480 1
0 3657 1
0 3669 1
1 224 1
1 324 1
1 336 1
1 347 1
1 358 1
1 391 1
1 413 1
1 458 1
1 469 1
1 502 1
1 513 1
1 524 1
1 535 1
1 546 1
1 558 1
1 2918 1
1 3004 1
1 3008 1
1 3258 1
1 3259 1
1 3260 1
1 3261 1
1 3277 1
1 3348 1
2 113 1
2 1247 1
2 66 1
2 74 1
2 75 1
2 76 1
2 77 1
2 78 1
2 81 1
2 82 1
2 83 1
2 84 1
2 85 1
2 86 1
2 87 1
2 88 1
2 89 1
2 93 1
2 3067 1
30 1363 1
56 55 1
57 3202 1
70 68 1
70 71 1
70 73 1
79 78 1
79 3272 1
79 3633 1
79 3634 1
89 90 1
89 3363 1
90 3169 1
92 93 1
92 574 1
92 576 1
92 577 1
92 578 1
92 579 1
92 581 1
92 582 1
92 583 1
92 584 1
92 585 1
92 586 1
92 587 1
92 588 1
92 589 1
92 598 1
92 628 1
92 629 1
92 630 1
92 631 1
92 632 1
92 633 1
92 634 1
92 636 1
92 637 1
92 638 1
92 639 1
92 641 1
92 642 1
92 645 1
92 647 1
92 648 1
92 3476 1
92 3477 1
94 95 1
94 96 1
94 97 1
94 98 1
94 99 1
94 100 1
94 101 1
94 103 1
94 104 1
94 105 1
94 106 1
94 107 1
94 108 1
94 109 1
94 110 1
111 112 1
111 115 1
111 116 1
111 117 1
111 118 1
111 119 1
111 120 1
111 121 1
111 122 1
111 123 1
111 124 1
111 126 1
111 127 1
111 128 1
129 130 1
129 131 1
129 132 1
129 133 1
129 134 1
129 135 1
129 137 1
129 138 1
129 139 1
129 140 1
129 141 1
129 142 1
143 144 1
143 145 1
143 146 1
143 148 1
143 149 1
143 150 1
143 151 1
143 152 1
143 153 1
143 154 1
143 155 1
143 156 1
143 157 1
143 159 1
143 160 1
143 161 1
143 162 1
143 163 1
143 164 1
143 165 1
143 166 1
143 167 1
143 168 1
143 170 1
143 171 1
143 172 1
143 173 1
143 174 1
143 175 1
143 176 1
143 177 1
143 178 1
143 179 1
143 181 1
143 182 1
143 183 1
143 184 1
143 185 1
143 186 1
143 187 1
143 188 1
143 189 1
143 190 1
143 192 1
143 193 1
143 194 1
143 195 1
143 196 1
143 197 1
143 198 1
143 199 1
143 200 1
158 169 1
158 180 1
224 735 1
224 1363 1
224 1427 1
224 1437 1
224 1461 1
224 1462 1
224 1463 1
224 1464 1
224 1465 1
224 1466 1
224 1467 1
224 1468 1
224 1470 1
224 1471 1
224 1472 1
224 1473 1
224 1474 1
224 1475 1
224 1476 1
224 1477 1
224 1478 1
224 1504 1
224 2022 1
224 2028 1
224 2029 1
224 2030 1
224 2031 1
224 2032 1
224 2033 1
224 2034 1
224 2036 1
224 2037 1
224 2038 1
224 2039 1
224 2040 1
224 2041 1
224 2042 1
224 2043 1
224 2044 1
224 2045 1
224 2047 1
224 2048 1
224 2049 1
224 2050 1
224 2051 1
224 2053 1
224 2055 1
224 2058 1
224 2060 1
224 2073 1
224 2062 1
224 2064 1
224 2066 1
224 2069 1
224 2071 1
224 2074 1
224 2075 1
224 2076 1
224 2077 1
224 2078 1
224 2080 1
224 2081 1
224 2082 1
224 2083 1
224 2084 1
224 2085 1
224 2086 1
224 2087 1
224 2088 1
224 2091 1
224 2092 1
224 2093 1
224 2094 1
224 2095 1
224 2096 1
224 2117 1
224 2121 1
224 2123 1
224 2125 1
224 2126 1
224 2127 1
224 2128 1
224 2129 1
224 2130 1
224 2134 1
224 2136 1
224 2137 1
224 2138 1
224 2143 1
224 2144 1
224 2145 1
224 2147 1
224 2148 1
224 2149 1
224 2150 1
224 2151 1
224 2152 1
224 2153 1
224 2154 1
224 2155 1
224 2214 1
224 2215 1
224 2216 1
224 2217 1
224 2218 1
224 3042 1
224 3063 1
224 3322 1
224 3665 1
224 3831 1
227 226 1
227 1320 1
227 1321 1
227 1544 1
227 2750 1
227 2751 1
227 2752 1
227 2753 1
227 2754 1
227 2755 1
227 2756 1
227 2758 1
227 2759 1
227 2762 1
227 2763 1
227 2764 1
227 2765 1
227 2766 1
227 2767 1
227 2769 1
227 2770 1
227 2771 1
227 2772 1
227 2773 1
227 2774 1
227 2775 1
227 2776 1
227 2777 1
227 2778 1
227 2781 1
227 2782 1
227 2783 1
227 2784 1
227 2785 1
227 2786 1
227 2794 1
227 2795 1
227 2796 1
227 2797 1
227 2798 1
269 280 1
269 291 1
269 302 1
284 2248 1
284 2249 1
307 308 1
307 309 1
307 310 1
321 322 1
321 323 1
321 325 1
321 326 1
321 327 1
321 328 1
321 329 1
321 330 1
321 331 1
321 332 1
321 333 1
321 334 1
321 337 1
321 338 1
321 339 1
335 2024 1
335 2057 1
335 2079 1
335 1555 1
335 1556 1
335 1559 1
335 446 1
335 1560 1
335 1561 1
335 1553 1
335 2035 1
335 2101 1
335 1997 1
335 1999 1
335 2000 1
335 2003 1
335 2004 1
335 2005 1
335 2006 1
335 2007 1
335 2008 1
335 2009 1
335 2010 1
335 2011 1
