2000 9912
4 780 1
4 1306 1
4 1665 1
4 1252 1
5 224 1
5 1216 1
5 1697 1
5 1626 1
5 1916 1
5 1562 1
5 1782 1
5 1090 1
6 1513 1
6 1549 1
6 236 1
6 702 1
7 1484 1
7 1543 1
7 1580 1
7 1709 1
7 1810 1
7 447 1
8 1024 1
8 1351 1
8 1520 1
8 1133 1
9 524 1
9 1383 1
10 80 1
10 1261 1
10 1402 1
11 1325 1
11 1749 1
11 1892 1
11 1905 1
12 1146 1
12 1366 1
12 1519 1
12 1604 1
12 1884 1
12 1877 1
12 1690 1
12 369 1
12 1841 1
13 1112 1
13 1205 1
13 1618 1
13 1680 1
13 1323 1
13 1171 1
13 1421 1
15 1227 1
15 1606 1
15 1548 1
15 1507 1
15 1463 1
15 1372 1
16 902 1
16 1560 1
16 1968 1
16 1812 1
16 1382 1
16 1805 1
17 1546 1
17 1285 1
18 358 1
18 1695 1
18 1575 1
18 1622 1
19 1767 1
20 768 1
20 1979 1
20 1891 1
21 1421 1
21 1589 1
21 1443 1
22 1496 1
22 1566 1
22 1879 1
23 1282 1
23 1807 1
24 1492 1
24 1613 1
24 1150 1
24 1204 1
26 1986 1
26 1892 1
27 1895 1
27 1979 1
28 1126 1
28 1165 1
28 1930 1
28 10 1
28 136 1
28 1748 1
29 1307 1
29 1408 1
29 1641 1
29 23 1
29 125 1
29 1493 1
30 1448 1
30 1472 1
30 1794 1
30 9 1
30 16 1
30 1802 1
30 1282 1
30 1859 1
31 1149 1
31 1210 1
31 1239 1
31 1461 1
31 1614 1
31 1907 1
31 1186 1
31 1212 1
31 1231 1
31 1866 1
32 1675 1
32 1729 1
32 1344 1
32 16 1
33 1544 1
33 1721 1
33 1863 1
33 335 1
33 1283 1
33 1895 1
33 1539 1
34 1375 1
34 1946 1
34 1971 1
34 1710 1
34 1722 1
34 1801 1
35 1304 1
35 1315 1
36 1556 1
37 1595 1
37 1761 1
37 1115 1
38 1327 1
38 1705 1
38 1762 1
38 1157 1
38 557 1
38 1741 1
39 1213 1
39 28 1
39 1402 1
39 1971 1
39 1202 1
39 1280 1
39 1337 1
40 1365 1
40 1268 1
40 1756 1
41 1989 1
41 1926 1
41 1710 1
41 1797 1
42 746 1
42 1336 1
42 1503 1
42 1790 1
42 1342 1
43 1136 1
43 1230 1
43 1325 1
44 902 1
44 1267 1
44 1514 1
44 1689 1
44 879 1
45 1563 1
45 1577 1
45 768 1
45 1755 1
