300 1462
0 291 1
0 131 1
0 183 1
0 268 1
0 186 1
0 170 1
1 33 1
1 161 1
2 103 1
2 49 1
2 295 1
2 280 1
2 64 1
2 298 1
3 16 1
3 169 1
3 298 1
3 2 1
3 124 1
3 133 1
4 289 1
4 57 1
5 101 1
5 20 1
5 16 1
6 231 1
6 65 1
6 272 1
6 237 1
6 228 1
6 107 1
6 246 1
6 26 1
7 17 1
7 59 1
7 237 1
7 66 1
7 84 1
7 268 1
7 227 1
8 147 1
9 92 1
9 125 1
9 147 1
10 129 1
10 256 1
10 219 1
10 182 1
10 149 1
10 217 1
10 262 1
10 270 1
10 225 1
10 180 1
10 230 1
10 141 1
10 161 1
11 134 1
11 125 1
12 73 1
12 25 1
13 102 1
13 130 1
13 176 1
13 17 1
14 149 1
14 267 1
14 54 1
14 121 1
14 172 1
15 7 1
15 95 1
15 295 1
15 283 1
15 268 1
15 263 1
15 267 1
15 212 1
15 156 1
16 254 1
16 216 1
16 20 1
16 152 1
16 120 1
17 65 1
17 6 1
17 26 1
18 192 1
18 96 1
18 100 1
19 44 1
19 48 1
19 92 1
19 299 1
20 101 1
20 214 1
20 3 1
20 216 1
20 64 1
20 295 1
21 251 1
21 94 1
21 188 1
21 150 1
22 111 1
22 218 1
22 140 1
22 76 1
22 72 1
23 3 1
23 48 1
23 56 1
23 273 1
23 20 1
23 133 1
24 222 1
24 71 1
24 296 1
24 172 1
24 212 1
24 195 1
25 191 1
25 35 1
25 161 1
25 284 1
26 67 1
26 282 1
26 186 1
26 118 1
26 68 1
26 192 1
26 90 1
26 168 1
26 176 1
26 203 1
26 266 1
27 35 1
27 93 1
27 33 1
28 192 1
28 27 1
28 184 1
29 36 1
29 167 1
29 31 1
29 279 1
29 235 1
29 196 1
30 279 1
30 196 1
30 108 1
31 283 1
31 276 1
31 248 1
31 240 1
32 19 1
32 296 1
32 3 1
32 16 1
32 2 1
32 229 1
33 71 1
33 109 1
33 37 1
34 273 1
34 265 1
34 28 1
34 215 1
35 209 1
35 246 1
35 239 1
35 28 1
35 96 1
36 276 1
36 201 1
36 96 1
36 107 1
36 69 1
36 196 1
37 1 1
37 81 1
37 169 1
37 93 1
38 234 1
38 277 1
38 194 1
38 281 1
39 10 1
39 256 1
39 273 1
39 85 1
39 240 1
40 1 1
40 5 1
40 212 1
40 291 1
40 251 1
