1023 1022
0 1 1
0 135 1
1 246 1
1 357 1
2 147 1
2 158 1
3 138 1
3 139 1
14 140 1
14 141 1
25 142 1
25 143 1
29 144 1
29 145 1
30 146 1
30 148 1
31 149 1
31 150 1
32 151 1
32 152 1
33 153 1
33 154 1
34 155 1
34 156 1
35 157 1
35 159 1
36 169 1
36 180 1
37 160 1
37 161 1
38 162 1
38 163 1
39 164 1
39 165 1
40 166 1
40 167 1
41 168 1
41 170 1
42 171 1
42 172 1
43 173 1
43 174 1
44 175 1
44 176 1
45 177 1
45 178 1
46 179 1
46 181 1
47 191 1
47 202 1
48 182 1
48 183 1
49 184 1
49 185 1
50 186 1
50 187 1
51 188 1
51 189 1
52 190 1
52 192 1
53 193 1
53 194 1
54 195 1
54 196 1
55 197 1
55 198 1
56 199 1
56 200 1
57 201 1
57 203 1
58 213 1
58 224 1
59 204 1
59 205 1
60 206 1
60 207 1
61 208 1
61 209 1
62 210 1
62 211 1
63 212 1
63 214 1
64 215 1
64 216 1
65 217 1
65 218 1
66 219 1
66 220 1
67 221 1
67 222 1
68 223 1
68 225 1
69 235 1
69 247 1
70 226 1
70 227 1
71 228 1
71 229 1
72 230 1
72 231 1
73 232 1
73 233 1
74 234 1
74 236 1
75 237 1
75 238 1
76 239 1
76 240 1
77 241 1
77 242 1
78 243 1
78 244 1
79 245 1
79 248 1
80 258 1
80 269 1
81 249 1
81 250 1
82 251 1
82 252 1
83 253 1
83 254 1
84 255 1
84 256 1
85 257 1
85 259 1
86 260 1
86 261 1
87 262 1
87 263 1
88 264 1
88 265 1
89 266 1
89 267 1
90 268 1
90 270 1
91 280 1
91 291 1
92 271 1
92 272 1
93 273 1
93 274 1
94 275 1
94 276 1
95 277 1
95 278 1
96 279 1
96 281 1
97 282 1
97 283 1
98 284 1
98 285 1
99 286 1
99 287 1
100 288 1
100 289 1
101 290 1
101 292 1
102 302 1
102 313 1
103 293 1
103 294 1
104 295 1
104 296 1
105 297 1
105 298 1
106 299 1
106 300 1
107 301 1
107 303 1
108 304 1
108 305 1
109 306 1
109 307 1
110 308 1
110 309 1
111 310 1
111 311 1
112 312 1
112 314 1
113 324 1
113 335 1
114 315 1
114 316 1
115 317 1
115 318 1
116 319 1
116 320 1
117 321 1
117 322 1
118 323 1
118 325 1
119 326 1
119 327 1
120 328 1
120 329 1
121 330 1
121 331 1
122 332 1
122 333 1
123 334 1
123 336 1
124 346 1
124 358 1
125 337 1
125 338 1
126 339 1
126 340 1
127 341 1
127 342 1
