96 336
1 0 1
2 89 1
3 2 1
4 3 1
5 4 1
6 5 1
7 0 1
7 6 1
8 0 1
8 1 1
8 7 1
9 0 1
9 1 1
9 12 1
9 8 1
10 1 1
10 12 1
10 23 1
10 9 1
11 12 1
11 23 1
11 34 1
11 10 1
12 1 1
13 23 1
13 34 1
13 45 1
13 11 1
14 34 1
14 45 1
14 56 1
14 13 1
15 45 1
15 56 1
15 67 1
15 14 1
16 56 1
16 67 1
16 78 1
16 15 1
17 67 1
17 78 1
17 89 1
17 16 1
18 78 1
18 89 1
18 2 1
18 17 1
19 89 1
19 2 1
19 3 1
19 18 1
20 2 1
20 3 1
20 4 1
20 19 1
21 3 1
21 4 1
21 5 1
21 20 1
22 4 1
22 5 1
22 6 1
22 21 1
23 12 1
24 5 1
24 6 1
24 7 1
24 22 1
25 0 1
25 6 1
25 7 1
25 8 1
25 24 1
26 8 1
26 9 1
26 25 1
27 8 1
27 9 1
27 10 1
27 26 1
28 9 1
28 10 1
28 11 1
28 27 1
29 10 1
29 11 1
29 13 1
29 28 1
30 11 1
30 13 1
30 14 1
30 29 1
31 13 1
31 14 1
31 15 1
31 30 1
32 14 1
32 15 1
32 16 1
32 31 1
33 15 1
33 16 1
33 17 1
33 32 1
34 23 1
35 16 1
35 17 1
35 18 1
35 33 1
36 17 1
36 18 1
36 19 1
36 35 1
37 18 1
37 19 1
37 20 1
37 36 1
38 19 1
38 20 1
38 21 1
38 37 1
39 20 1
39 21 1
39 22 1
39 38 1
40 21 1
40 22 1
40 24 1
40 39 1
41 22 1
41 24 1
41 25 1
41 40 1
42 8 1
42 24 1
42 25 1
42 26 1
42 41 1
43 26 1
43 27 1
43 42 1
44 26 1
44 27 1
44 28 1
44 43 1
45 34 1
46 27 1
46 28 1
46 29 1
46 44 1
47 28 1
47 29 1
47 30 1
47 46 1
48 29 1
48 30 1
48 31 1
48 47 1
49 30 1
49 31 1
49 32 1
49 48 1
50 31 1
50 32 1
50 33 1
50 49 1
51 32 1
51 33 1
51 35 1
51 50 1
52 33 1
52 35 1
52 36 1
52 51 1
53 35 1
53 36 1
53 37 1
53 52 1
54 36 1
54 37 1
54 38 1
54 53 1
55 37 1
55 38 1
55 39 1
55 54 1
56 45 1
57 38 1
57 39 1
57 40 1
57 55 1
58 39 1
58 40 1
58 41 1
58 57 1
59 40 1
59 41 1
59 42 1
59 58 1
60 26 1
60 41 1
60 42 1
60 43 1
60 59 1
61 43 1
61 44 1
61 60 1
62 43 1
62 44 1
62 46 1
62 61 1
63 44 1
63 46 1
63 47 1
63 62 1
64 46 1
64 47 1
64 48 1
64 63 1
65 47 1
65 48 1
65 49 1
65 64 1
66 48 1
66 49 1
66 50 1
66 65 1
67 56 1
68 49 1
68 50 1
68 51 1
68 66 1
69 50 1
69 51 1
69 52 1
69 68 1
70 51 1
70 52 1
70 53 1
70 69 1
71 52 1
71 53 1
71 54 1
71 70 1
72 53 1
72 54 1
72 55 1
72 71 1
73 54 1
73 55 1
73 57 1
73 72 1
74 55 1
74 57 1
74 58 1
74 73 1
75 57 1
75 58 1
75 59 1
75 74 1
76 58 1
76 59 1
76 60 1
76 75 1
77 43 1
77 59 1
77 60 1
77 61 1
77 76 1
78 67 1
79 61 1
79 62 1
79 77 1
80 61 1
80 62 1
80 63 1
80 79 1
81 62 1
81 63 1
81 64 1
81 80 1
82 63 1
82 64 1
82 65 1
82 81 1
83 64 1
83 65 1
83 66 1
83 82 1
84 65 1
84 66 1
84 68 1
84 83 1
85 66 1
85 68 1
85 69 1
85 84 1
86 68 1
86 69 1
86 70 1
86 85 1
87 69 1
87 70 1
87 71 1
87 86 1
88 70 1
88 71 1
88 72 1
88 87 1
89 78 1
90 71 1
90 72 1
90 73 1
90 88 1
91 72 1
91 73 1
91 74 1
91 90 1
92 73 1
92 74 1
92 75 1
92 91 1
93 74 1
93 75 1
93 76 1
93 92 1
94 75 1
94 76 1
94 77 1
94 93 1
95 61 1
95 76 1
95 77 1
95 79 1
95 94 1
