115 613
0 1 1
0 20 1
0 21 1
0 71 1
0 22 1
0 23 1
0 24 1
0 25 1
0 26 1
0 28 1
0 29 1
0 30 1
1 27 1
1 38 1
1 49 1
1 60 1
1 71 1
1 82 1
1 93 1
1 104 1
1 2 1
1 13 1
1 19 1
2 45 1
2 68 1
2 46 1
2 79 1
2 55 1
2 80 1
2 56 1
3 7 1
3 12 1
3 5 1
4 11 1
4 6 1
4 17 1
4 18 1
5 14 1
5 12 1
5 15 1
5 10 1
5 16 1
6 14 1
6 11 1
6 17 1
6 15 1
6 18 1
8 12 1
8 16 1
9 15 1
9 10 1
10 14 1
10 15 1
10 16 1
11 14 1
11 17 1
11 18 1
13 9 1
13 76 1
13 10 1
13 19 1
14 15 1
17 18 1
19 46 1
19 96 1
19 41 1
19 99 1
19 95 1
20 79 1
20 22 1
20 23 1
20 6 1
20 25 1
20 28 1
20 29 1
20 44 1
20 30 1
21 83 1
21 47 1
21 7 1
21 98 1
21 8 1
21 113 1
21 3 1
21 100 1
21 101 1
22 86 1
22 23 1
22 9 1
22 25 1
22 100 1
22 28 1
22 29 1
22 30 1
23 34 1
23 110 1
23 98 1
23 25 1
23 28 1
23 29 1
23 30 1
24 106 1
24 110 1
24 14 1
24 7 1
24 114 1
24 15 1
24 10 1
24 94 1
24 16 1
25 66 1
25 18 1
25 92 1
25 28 1
25 29 1
25 30 1
26 103 1
26 108 1
26 109 1
26 78 1
26 66 1
26 51 1
26 111 1
26 112 1
27 45 1
27 38 1
27 49 1
27 60 1
27 55 1
27 93 1
27 56 1
27 13 1
27 19 1
27 57 1
28 113 1
28 54 1
28 29 1
28 30 1
29 98 1
29 9 1
29 30 1
30 109 1
30 8 1
30 111 1
31 32 1
31 45 1
31 46 1
31 47 1
31 48 1
31 50 1
31 51 1
31 41 1
31 42 1
31 52 1
31 53 1
31 54 1
32 33 1
32 34 1
32 35 1
32 36 1
32 37 1
32 39 1
32 40 1
32 41 1
32 42 1
32 43 1
32 44 1
33 63 1
33 64 1
33 65 1
33 37 1
33 66 1
33 51 1
33 39 1
33 40 1
33 67 1
33 43 1
33 44 1
34 81 1
34 36 1
34 64 1
34 65 1
34 39 1
34 40 1
34 43 1
34 44 1
34 89 1
35 81 1
35 36 1
35 47 1
35 87 1
35 88 1
35 90 1
35 91 1
35 67 1
35 92 1
36 64 1
36 65 1
36 37 1
36 39 1
36 72 1
36 94 1
36 43 1
36 44 1
36 95 1
37 70 1
37 64 1
37 65 1
37 4 1
37 39 1
37 107 1
37 40 1
37 43 1
38 68 1
38 49 1
38 70 1
38 60 1
38 93 1
38 40 1
38 13 1
38 19 1
38 57 1
39 58 1
39 65 1
39 12 1
39 40 1
39 91 1
39 44 1
40 64 1
40 8 1
40 43 1
40 44 1
40 77 1
41 58 1
41 48 1
41 50 1
41 91 1
41 42 1
41 52 1
41 54 1
41 62 1
42 45 1
42 58 1
42 48 1
42 50 1
42 73 1
42 76 1
42 53 1
42 54 1
43 64 1
43 65 1
43 76 1
43 92 1
43 54 1
44 64 1
44 65 1
44 7 1
44 94 1
45 58 1
45 46 1
45 50 1
45 52 1
45 53 1
45 59 1
45 61 1
45 62 1
46 58 1
46 79 1
46 55 1
46 80 1
46 56 1
46 59 1
47 81 1
47 85 1
47 87 1
47 106 1
47 88 1
47 107 1
47 67 1
48 63 1
48 78 1
48 50 1
48 52 1
48 61 1
48 54 1
48 62 1
49 83 1
49 60 1
49 87 1
49 93 1
49 96 1
49 52 1
49 13 1
49 19 1
50 6 1
50 53 1
50 61 1
50 54 1
50 16 1
51 83 1
51 86 1
51 12 1
51 8 1
51 18 1
51 59 1
51 95 1
52 58 1
52 76 1
52 17 1
52 53 1
52 61 1
52 62 1
53 58 1
53 79 1
53 11 1
53 17 1
53 61 1
53 62 1
54 58 1
54 61 1
54 62 1
55 79 1
55 87 1
55 80 1
55 56 1
55 75 1
55 102 1
56 79 1
56 80 1
56 113 1
56 17 1
56 18 1
56 10 1
56 100 1
57 63 1
57 69 1
57 70 1
57 78 1
57 72 1
57 74 1
57 75 1
57 77 1
58 61 1
58 62 1
59 12 1
59 8 1
59 15 1
59 61 1
59 16 1
60 70 1
60 93 1
60 75 1
60 2 1
60 13 1
60 19 1
60 77 1
61 14 1
61 74 1
61 62 1
62 114 1
62 18 1
63 68 1
63 69 1
63 70 1
63 72 1
63 73 1
63 74 1
63 75 1
63 76 1
63 77 1
64 69 1
64 105 1
64 65 1
64 11 1
65 87 1
65 90 1
65 76 1
