77 254
0 1 1
1 12 1
1 23 1
1 34 1
1 45 1
1 56 1
1 67 1
1 75 1
1 76 1
1 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 19 1
2 20 1
2 21 1
2 22 1
2 24 1
2 25 1
2 26 1
2 27 1
2 28 1
2 29 1
2 30 1
2 31 1
2 32 1
2 33 1
2 35 1
2 36 1
2 37 1
2 38 1
4 8 1
8 40 1
8 39 1
8 41 1
8 42 1
8 43 1
8 44 1
8 46 1
8 9 1
8 10 1
8 13 1
8 15 1
8 47 1
8 16 1
9 10 1
9 11 1
9 13 1
9 48 1
9 49 1
9 50 1
9 33 1
9 35 1
9 36 1
10 11 1
10 13 1
10 51 1
10 52 1
10 48 1
10 49 1
10 27 1
10 30 1
10 33 1
10 35 1
10 36 1
10 37 1
10 53 1
11 40 1
11 13 1
11 25 1
11 28 1
11 29 1
11 54 1
11 30 1
11 38 1
12 23 1
12 2 1
13 14 1
13 15 1
13 16 1
13 18 1
13 25 1
13 27 1
13 31 1
13 33 1
13 35 1
13 36 1
13 37 1
13 38 1
14 26 1
14 55 1
15 19 1
15 20 1
15 21 1
15 22 1
15 24 1
16 47 1
19 20 1
19 21 1
19 22 1
19 24 1
20 21 1
20 22 1
20 24 1
21 22 1
21 24 1
22 24 1
23 2 1
27 60 1
27 30 1
27 58 1
27 31 1
27 62 1
27 63 1
27 64 1
27 59 1
27 65 1
27 32 1
27 66 1
27 68 1
27 33 1
27 35 1
27 37 1
27 69 1
27 70 1
27 53 1
27 71 1
28 50 1
28 29 1
28 54 1
28 30 1
28 72 1
29 57 1
29 73 1
29 54 1
29 30 1
30 40 1
30 51 1
30 48 1
30 54 1
30 72 1
30 58 1
30 31 1
30 62 1
30 64 1
30 59 1
30 65 1
30 32 1
30 66 1
31 58 1
31 62 1
31 63 1
31 64 1
31 59 1
31 65 1
31 32 1
31 66 1
31 68 1
31 36 1
31 71 1
32 58 1
32 62 1
32 63 1
32 64 1
32 59 1
32 65 1
32 66 1
32 68 1
32 71 1
33 48 1
33 35 1
33 36 1
33 37 1
33 53 1
35 48 1
35 36 1
35 37 1
35 53 1
36 48 1
36 37 1
36 53 1
37 48 1
37 53 1
39 40 1
39 41 1
39 42 1
39 43 1
39 44 1
39 46 1
40 41 1
40 42 1
40 43 1
40 44 1
40 46 1
41 42 1
41 43 1
41 44 1
41 46 1
42 43 1
42 44 1
42 46 1
43 44 1
43 46 1
44 46 1
48 49 1
48 58 1
48 59 1
48 53 1
51 57 1
58 62 1
58 64 1
58 59 1
58 65 1
58 66 1
58 74 1
59 62 1
59 63 1
59 64 1
59 65 1
59 66 1
59 68 1
59 71 1
60 61 1
62 63 1
62 64 1
62 65 1
62 66 1
62 68 1
63 64 1
63 65 1
63 66 1
63 68 1
64 65 1
64 66 1
64 68 1
65 66 1
65 68 1
65 71 1
66 68 1
66 71 1
68 71 1
69 70 1
