289 800
1 0 1
2 278 1
3 272 1
3 273 1
3 288 1
4 273 1
4 274 1
4 3 1
5 274 1
5 275 1
5 4 1
6 275 1
6 276 1
6 5 1
7 276 1
7 277 1
7 6 1
8 277 1
8 279 1
8 7 1
9 279 1
9 280 1
9 8 1
10 280 1
10 281 1
10 9 1
11 226 1
11 227 1
11 281 1
11 282 1
11 10 1
12 113 1
12 124 1
12 283 1
13 2 1
14 283 1
14 284 1
14 12 1
15 284 1
15 285 1
15 14 1
16 285 1
16 286 1
16 15 1
17 286 1
17 287 1
17 16 1
18 287 1
18 288 1
18 17 1
19 288 1
19 3 1
19 18 1
20 3 1
20 4 1
20 19 1
21 4 1
21 5 1
21 20 1
22 5 1
22 6 1
22 21 1
23 6 1
23 7 1
23 22 1
24 13 1
25 7 1
25 8 1
25 23 1
26 8 1
26 9 1
26 25 1
27 9 1
27 10 1
27 26 1
28 227 1
28 228 1
28 10 1
28 11 1
28 27 1
29 101 1
29 113 1
29 12 1
30 12 1
30 14 1
30 29 1
31 14 1
31 15 1
31 30 1
32 15 1
32 16 1
32 31 1
33 16 1
33 17 1
33 32 1
34 17 1
34 18 1
34 33 1
35 24 1
36 18 1
36 19 1
36 34 1
37 19 1
37 20 1
37 36 1
38 20 1
38 21 1
38 37 1
39 21 1
39 22 1
39 38 1
40 22 1
40 23 1
40 39 1
41 23 1
41 25 1
41 40 1
42 25 1
42 26 1
42 41 1
43 26 1
43 27 1
43 42 1
44 228 1
44 229 1
44 27 1
44 28 1
44 43 1
45 90 1
45 101 1
45 29 1
46 35 1
47 29 1
47 30 1
47 45 1
48 30 1
48 31 1
48 47 1
49 31 1
49 32 1
49 48 1
50 32 1
50 33 1
50 49 1
51 33 1
51 34 1
51 50 1
52 34 1
52 36 1
52 51 1
53 36 1
53 37 1
53 52 1
54 37 1
54 38 1
54 53 1
55 38 1
55 39 1
55 54 1
56 39 1
56 40 1
56 55 1
57 46 1
58 40 1
58 41 1
58 56 1
59 41 1
59 42 1
59 58 1
60 42 1
60 43 1
60 59 1
61 229 1
61 230 1
61 43 1
61 44 1
61 60 1
62 79 1
62 90 1
62 45 1
63 45 1
63 47 1
63 62 1
64 47 1
64 48 1
64 63 1
65 48 1
65 49 1
65 64 1
66 49 1
66 50 1
66 65 1
67 50 1
67 51 1
67 66 1
68 57 1
69 51 1
69 52 1
69 67 1
70 52 1
70 53 1
70 69 1
71 53 1
71 54 1
71 70 1
72 54 1
72 55 1
72 71 1
73 55 1
73 56 1
73 72 1
74 56 1
74 58 1
74 73 1
75 58 1
75 59 1
75 74 1
76 59 1
76 60 1
76 75 1
77 230 1
77 231 1
77 60 1
77 61 1
77 76 1
78 68 1
78 79 1
78 62 1
79 68 1
80 62 1
80 63 1
80 78 1
81 63 1
81 64 1
81 80 1
82 64 1
82 65 1
82 81 1
83 65 1
83 66 1
83 82 1
84 66 1
84 67 1
84 83 1
85 67 1
85 69 1
85 84 1
86 69 1
86 70 1
86 85 1
87 70 1
87 71 1
87 86 1
88 71 1
88 72 1
88 87 1
89 72 1
89 73 1
89 88 1
90 79 1
91 73 1
91 74 1
91 89 1
92 74 1
92 75 1
92 91 1
93 75 1
93 76 1
93 92 1
94 231 1
94 232 1
94 76 1
94 77 1
94 93 1
95 57 1
95 68 1
95 78 1
96 78 1
96 80 1
96 95 1
97 80 1
97 81 1
97 96 1
98 81 1
98 82 1
98 97 1
99 82 1
99 83 1
99 98 1
100 83 1
100 84 1
100 99 1
101 90 1
102 84 1
102 85 1
102 100 1
103 85 1
103 86 1
103 102 1
104 86 1
104 87 1
104 103 1
105 87 1
105 88 1
105 104 1
106 88 1
106 89 1
106 105 1
107 89 1
107 91 1
107 106 1
108 91 1
108 92 1
108 107 1
109 92 1
109 93 1
109 108 1
110 232 1
110 233 1
110 93 1
110 94 1
110 109 1
111 46 1
111 57 1
111 95 1
112 1 1
113 101 1
114 95 1
114 96 1
114 111 1
115 96 1
115 97 1
115 114 1
116 97 1
116 98 1
116 115 1
117 98 1
117 99 1
117 116 1
118 99 1
118 100 1
118 117 1
119 100 1
119 102 1
119 118 1
120 102 1
120 103 1
120 119 1
121 103 1
121 104 1
121 120 1
122 104 1
122 105 1
122 121 1
123 105 1
123 106 1
123 122 1
124 113 1
125 106 1
125 107 1
125 123 1
126 107 1
126 108 1
126 125 1
127 108 1
127 109 1
127 126 1
128 233 1
128 235 1
128 109 1
128 110 1
128 127 1
129 35 1
129 46 1
129 111 1
130 111 1
130 114 1
130 129 1
131 114 1
131 115 1
131 130 1
132 115 1
132 116 1
132 131 1
133 116 1
133 117 1
133 132 1
134 117 1
134 118 1
134 133 1
135 124 1
136 118 1
136 119 1
136 134 1
137 119 1
137 120 1
137 136 1
138 120 1
138 121 1
138 137 1
139 121 1
139 122 1
139 138 1
140 122 1
140 123 1
140 139 1
141 123 1
141 125 1
141 140 1
142 125 1
142 126 1
142 141 1
143 126 1
143 127 1
143 142 1
144 235 1
144 236 1
144 127 1
144 128 1
144 143 1
145 24 1
145 35 1
145 129 1
146 135 1
147 129 1
147 130 1
147 145 1
148 130 1
148 131 1
148 147 1
149 131 1
149 132 1
149 148 1
150 132 1
150 133 1
150 149 1
151 133 1
151 134 1
151 150 1
152 134 1
152 136 1
152 151 1
153 136 1
153 137 1
153 152 1
154 137 1
154 138 1
154 153 1
155 138 1
155 139 1
155 154 1
156 139 1
156 140 1
156 155 1
157 146 1
158 140 1
158 141 1
158 156 1
159 141 1
159 142 1
159 158 1
160 142 1
160 143 1
160 159 1
161 236 1
161 237 1
161 143 1
