1000 1996
0 112 1
0 223 1
0 556 1
0 778 1
0 2 1
0 68 1
0 79 1
0 113 1
0 246 1
0 268 1
0 279 1
0 323 1
0 346 1
0 357 1
0 379 1
0 457 1
0 479 1
0 490 1
0 523 1
0 701 1
0 756 1
0 812 1
0 878 1
0 890 1
0 945 1
0 978 1
0 8 1
0 21 1
0 51 1
0 56 1
0 61 1
0 71 1
0 72 1
0 83 1
0 87 1
0 103 1
0 131 1
0 156 1
0 160 1
0 164 1
0 169 1
0 171 1
0 172 1
0 173 1
0 186 1
0 213 1
0 226 1
0 231 1
0 236 1
0 259 1
0 280 1
0 285 1
0 297 1
0 304 1
0 311 1
0 318 1
0 325 1
0 329 1
0 348 1
0 367 1
0 413 1
0 416 1
0 430 1
0 443 1
0 458 1
0 508 1
0 531 1
0 544 1
0 576 1
0 637 1
0 648 1
0 659 1
0 660 1
0 738 1
0 742 1
0 760 1
0 761 1
0 765 1
0 774 1
0 777 1
0 797 1
0 813 1
0 828 1
0 837 1
0 852 1
0 858 1
0 861 1
0 862 1
0 881 1
0 887 1
0 907 1
0 922 1
0 926 1
0 938 1
0 953 1
0 955 1
0 973 1
0 974 1
0 976 1
0 990 1
0 993 1
1 112 1
1 667 1
1 24 1
1 135 1
1 157 1
1 434 1
1 645 1
1 74 1
1 109 1
1 150 1
1 153 1
1 205 1
1 296 1
1 356 1
1 364 1
1 410 1
1 497 1
1 517 1
1 552 1
1 600 1
1 661 1
1 708 1
1 714 1
1 741 1
2 246 1
2 301 1
2 346 1
2 401 1
2 423 1
2 468 1
2 523 1
2 679 1
2 890 1
2 934 1
2 9 1
2 19 1
2 54 1
2 89 1
2 93 1
2 96 1
2 121 1
2 139 1
2 166 1
2 176 1
2 186 1
2 189 1
2 217 1
2 228 1
2 244 1
2 298 1
2 309 1
2 374 1
2 403 1
2 408 1
2 413 1
2 429 1
2 430 1
2 488 1
2 502 1
2 610 1
2 696 1
2 711 1
2 750 1
2 966 1
5 25 1
5 352 1
6 52 1
6 114 1
6 265 1
6 295 1
6 402 1
6 713 1
6 961 1
8 17 1
8 51 1
8 169 1
8 310 1
8 327 1
8 340 1
8 348 1
8 387 1
8 399 1
8 443 1
8 508 1
8 541 1
8 599 1
8 619 1
8 639 1
8 665 1
8 727 1
8 746 1
8 886 1
8 894 1
8 969 1
10 36 1
10 215 1
11 111 1
11 227 1
11 382 1
12 287 1
13 124 1
13 7 1
13 14 1
13 463 1
13 507 1
13 933 1
14 210 1
14 463 1
15 866 1
16 267 1
16 292 1
16 350 1
16 372 1
16 373 1
16 398 1
16 550 1
17 207 1
17 238 1
17 626 1
17 665 1
18 32 1
18 55 1
18 119 1
18 270 1
18 409 1
18 604 1
18 606 1
