1000 999
1 0 1
2 0 1
3 790 1
4 223 1
5 656 1
6 690 1
7 812 1
8 0 1
9 24 1
10 390 1
11 1 1
12 0 1
13 0 1
14 179 1
15 357 1
16 246 1
17 179 1
18 778 1
19 479 1
20 479 1
21 978 1
22 1 1
23 590 1
24 445 1
25 790 1
26 235 1
27 290 1
28 190 1
29 1 1
30 479 1
31 556 1
32 379 1
33 490 1
34 667 1
35 0 1
36 556 1
37 79 1
38 468 1
39 0 1
40 79 1
41 179 1
42 179 1
43 1 1
44 24 1
45 0 1
46 0 1
47 12 1
48 190 1
49 690 1
50 290 1
51 46 1
52 1 1
53 379 1
54 379 1
55 223 1
56 1 1
57 2 1
58 68 1
59 357 1
60 268 1
61 1 1
62 978 1
63 512 1
64 0 1
65 346 1
66 24 1
67 867 1
68 0 1
69 223 1
70 690 1
71 978 1
72 112 1
73 43 1
74 79 1
75 28 1
76 856 1
77 112 1
78 667 1
79 445 1
80 2 1
81 112 1
82 690 1
83 179 1
84 334 1
85 390 1
86 1 1
87 901 1
88 778 1
89 468 1
90 1 1
91 55 1
92 190 1
93 334 1
94 1 1
95 0 1
96 112 1
97 55 1
98 190 1
99 690 1
100 99 1
101 667 1
102 23 1
103 179 1
104 42 1
105 190 1
106 179 1
107 223 1
108 379 1
109 1 1
110 0 1
111 67 1
112 1 1
113 1 1
114 534 1
115 88 1
116 601 1
117 17 1
118 29 1
119 812 1
120 42 1
121 33 1
122 146 1
123 25 1
124 223 1
125 23 1
126 601 1
127 35 1
128 29 1
129 1 1
130 60 1
131 52 1
132 116 1
133 132 1
134 390 1
135 667 1
136 24 1
137 46 1
138 29 1
139 312 1
140 28 1
141 690 1
142 94 1
143 18 1
144 138 1
145 43 1
146 445 1
147 978 1
148 401 1
149 68 1
150 41 1
151 357 1
152 99 1
153 579 1
154 149 1
155 379 1
156 112 1
157 0 1
158 38 1
159 1 1
160 390 1
161 150 1
162 446 1
163 31 1
164 357 1
165 2 1
166 1 1
167 190 1
168 112 1
169 146 1
170 132 1
171 74 1
172 223 1
173 223 1
174 556 1
175 103 1
176 114 1
177 174 1
178 856 1
179 146 1
180 105 1
181 50 1
182 108 1
183 146 1
184 579 1
185 83 1
186 83 1
187 667 1
188 60 1
189 357 1
190 1 1
191 468 1
192 68 1
193 556 1
194 37 1
195 170 1
196 15 1
197 79 1
198 193 1
199 91 1
200 58 1
201 667 1
202 457 1
203 634 1
204 179 1
205 202 1
206 667 1
207 1 1
208 0 1
209 0 1
210 68 1
211 468 1
212 0 1
213 557 1
214 468 1
215 58 1
216 92 1
217 161 1
218 812 1
219 590 1
220 6 1
221 41 1
222 164 1
223 1 1
224 889 1
225 115 1
226 17 1
227 114 1
228 667 1
229 667 1
230 268 1
231 56 1
232 0 1
233 164 1
234 138 1
235 445 1
236 157 1
237 122 1
238 312 1
239 188 1
240 290 1
241 29 1
242 23 1
243 70 1
244 190 1
245 35 1
246 35 1
247 221 1
248 121 1
249 490 1
250 190 1
251 240 1
252 667 1
253 24 1
254 121 1
255 43 1
256 23 1
257 667 1
258 247 1
259 978 1
260 0 1
261 28 1
262 255 1
263 61 1
264 334 1
265 334 1
266 24 1
267 204 1
268 2 1
269 401 1
270 204 1
271 468 1
272 379 1
273 0 1
274 667 1
275 501 1
276 223 1
277 71 1
278 185 1
279 1 1
280 53 1
281 223 1
282 83 1
283 52 1
284 211 1
285 357 1
286 190 1
287 667 1
288 15 1
289 0 1
290 1 1
291 867 1
292 0 1
293 401 1
294 232 1
295 35 1
296 501 1
297 623 1
298 173 1
299 216 1
300 479 1
301 1 1
302 41 1
303 989 1
304 288 1
305 23 1
306 601 1
307 181 1
308 756 1
309 290 1
310 29 1
311 71 1
312 1 1
313 246 1
314 146 1
315 656 1
316 52 1
317 590 1
318 779 1
319 25 1
320 479 1
321 8 1
322 34 1
323 223 1
324 667 1
325 71 1
326 73 1
327 280 1
328 213 1
329 25 1
330 41 1
331 269 1
332 237 1
333 190 1
334 1 1
335 1 1
336 223 1
337 734 1
338 712 1
339 479 1
340 209 1
341 2 1
342 290 1
343 68 1
344 601 1
345 22 1
346 223 1
347 68 1
348 181 1
349 112 1
350 379 1
351 223 1
352 120 1
353 46 1
354 28 1
355 255 1
356 257 1
357 2 1
358 174 1
359 235 1
360 43 1
361 227 1
362 723 1
363 263 1
364 390 1
365 38 1
366 1 1
367 255 1
368 1 1
369 211 1
370 0 1
371 390 1
372 83 1
373 222 1
374 234 1
375 353 1
376 590 1
377 21 1
378 190 1
379 223 1
380 401 1
381 109 1
382 240 1
383 251 1
384 321 1
385 136 1
386 690 1
387 40 1
388 26 1
389 468 1
390 445 1
391 41 1
392 590 1
393 49 1
394 24 1
395 25 1
396 68 1
397 320 1
398 325 1
399 392 1
400 43 1
401 24 1
402 25 1
403 245 1
404 188 1
405 208 1
406 11 1
407 366 1
408 68 1
409 68 1
410 512 1
411 186 1
412 79 1
413 379 1
414 396 1
415 667 1
416 231 1
417 51 1
418 83 1
419 257 1
420 224 1
421 25 1
422 0 1
423 290 1
424 534 1
425 556 1
426 61 1
427 357 1
428 29 1
429 1 1
430 801 1
431 189 1
432 83 1
433 217 1
434 379 1
435 345 1
436 266 1
437 177 1
438 379 1
439 889 1
440 28 1
441 1 1
442 232 1
443 359 1
444 19 1
445 334 1
446 0 1
447 190 1
448 889 1
449 333 1
450 468 1
451 201 1
452 268 1
453 252 1
454 24 1
455 734 1
456 224 1
457 190 1
458 151 1
459 287 1
460 83 1
461 32 1
462 221 1
463 290 1
464 241 1
465 223 1
466 556 1
467 61 1
468 379 1
469 756 1
470 254 1
471 303 1
472 501 1
473 112 1
474 590 1
475 426 1
476 1 1
477 323 1
478 220 1
479 0 1
480 690 1
481 42 1
482 25 1
483 342 1
484 51 1
485 30 1
486 390 1
487 204 1
488 344 1
489 200 1
490 335 1
491 227 1
492 25 1
493 25 1
494 590 1
495 357 1
496 231 1
497 445 1
498 495 1
499 71 1
500 112 1
501 334 1
502 325 1
503 327 1
504 70 1
505 224 1
506 195 1
507 164 1
508 557 1
509 51 1
510 779 1
511 221 1
512 479 1
513 283 1
514 179 1
515 390 1
516 71 1
517 164 1
518 28 1
519 812 1
520 1 1
521 55 1
522 379 1
523 1 1
524 1 1
525 157 1
526 354 1
527 75 1
528 67 1
529 40 1
530 122 1
531 312 1
532 245 1
533 667 1
534 0 1
535 357 1
536 92 1
537 1 1
538 205 1
539 231 1
540 319 1
541 450 1
542 157 1
543 245 1
544 667 1
545 168 1
546 52 1
547 51 1
548 756 1
549 210 1
550 223 1
551 132 1
552 146 1
553 112 1
554 550 1
555 60 1
556 1 1
557 146 1
558 62 1
559 251 1
560 260 1
561 194 1
562 547 1
563 516 1
564 1 1
565 29 1
566 210 1
567 690 1
568 68 1
569 80 1
570 166 1
571 487 1
572 415 1
573 556 1
574 400 1
575 394 1
576 460 1
577 188 1
578 667 1
579 223 1
580 1 1
581 59 1
582 534 1
583 123 1
584 273 1
585 33 1
586 889 1
587 667 1
588 734 1
589 545 1
590 290 1
591 379 1
592 359 1
593 190 1
594 290 1
595 247 1
596 50 1
597 390 1
598 0 1
599 240 1
600 474 1
601 24 1
602 263 1
603 1 1
604 268 1
605 557 1
606 39 1
607 58 1
608 58 1
609 379 1
610 967 1
611 268 1
612 390 1
613 174 1
614 582 1
615 388 1
616 392 1
617 556 1
618 222 1
619 520 1
620 442 1
621 320 1
622 331 1
623 190 1
624 231 1
625 545 1
626 334 1
627 146 1
628 289 1
629 74 1
630 245 1
631 845 1
632 667 1
633 582 1
634 24 1
635 292 1
636 33 1
637 978 1
638 712 1
639 25 1
640 2 1
641 867 1
642 89 1
643 889 1
644 223 1
645 1 1
646 52 1
647 465 1
648 562 1
649 2 1
650 426 1
651 18 1
652 0 1
653 438 1
654 562 1
655 801 1
656 1 1
657 519 1
658 324 1
659 151 1
