135 377
2 1 1
3 132 1
3 134 1
4 133 1
4 134 1
6 112 1
7 47 1
7 5 1
7 6 1
8 5 1
8 47 1
8 6 1
8 7 1
9 47 1
9 5 1
9 6 1
9 7 1
9 8 1
10 5 1
10 47 1
10 6 1
10 7 1
10 8 1
10 9 1
11 47 1
11 8 1
11 10 1
12 47 1
12 9 1
12 10 1
13 0 1
13 2 1
14 112 1
15 5 1
15 14 1
16 5 1
16 14 1
16 15 1
17 5 1
17 14 1
17 15 1
17 16 1
18 5 1
18 14 1
18 15 1
18 16 1
18 17 1
19 16 1
19 18 1
20 17 1
20 18 1
22 87 1
23 47 1
23 21 1
23 22 1
24 0 1
24 2 1
24 13 1
25 21 1
25 47 1
25 22 1
25 23 1
26 47 1
26 21 1
26 22 1
26 23 1
26 25 1
27 21 1
27 47 1
27 22 1
27 23 1
27 25 1
27 26 1
28 47 1
28 25 1
28 27 1
29 47 1
29 26 1
29 27 1
30 87 1
31 21 1
31 30 1
32 21 1
32 30 1
32 31 1
33 21 1
33 30 1
33 31 1
33 32 1
34 21 1
34 30 1
34 31 1
34 32 1
34 33 1
35 0 1
35 2 1
35 13 1
35 24 1
36 32 1
36 34 1
37 33 1
37 34 1
38 47 1
39 45 1
40 1 1
41 0 1
41 2 1
41 13 1
41 24 1
41 35 1
42 24 1
42 41 1
43 35 1
43 41 1
46 45 1
48 47 1
48 44 1
48 46 1
49 44 1
49 47 1
49 46 1
49 48 1
50 47 1
50 44 1
50 46 1
50 48 1
50 49 1
51 44 1
51 47 1
51 46 1
51 48 1
51 49 1
51 50 1
52 47 1
52 49 1
52 51 1
53 47 1
53 50 1
53 51 1
54 45 1
55 44 1
55 54 1
56 44 1
56 54 1
56 55 1
57 44 1
57 54 1
57 55 1
57 56 1
58 1 1
59 44 1
59 54 1
59 55 1
59 56 1
59 57 1
60 56 1
60 59 1
61 57 1
61 59 1
64 47 1
64 62 1
64 63 1
65 62 1
65 47 1
65 63 1
65 64 1
66 47 1
66 62 1
66 63 1
66 64 1
66 65 1
67 62 1
67 47 1
67 63 1
67 64 1
67 65 1
67 66 1
68 47 1
68 65 1
68 67 1
69 0 1
69 47 1
69 58 1
70 47 1
70 66 1
70 67 1
72 45 1
73 62 1
73 71 1
73 72 1
74 62 1
74 71 1
74 72 1
74 73 1
75 71 1
75 62 1
75 72 1
75 73 1
75 74 1
76 62 1
76 71 1
76 72 1
76 73 1
76 74 1
76 75 1
77 74 1
77 76 1
78 75 1
78 76 1
79 0 1
80 0 1
80 47 1
80 58 1
80 69 1
81 71 1
81 79 1
82 71 1
82 79 1
82 81 1
83 71 1
83 79 1
83 81 1
83 82 1
84 71 1
84 79 1
84 81 1
84 82 1
84 83 1
85 82 1
85 84 1
86 83 1
86 84 1
89 47 1
89 87 1
89 88 1
90 87 1
90 47 1
90 88 1
90 89 1
91 47 1
91 0 1
91 58 1
91 69 1
91 80 1
92 47 1
92 87 1
92 88 1
92 89 1
92 90 1
93 87 1
93 47 1
93 88 1
93 89 1
93 90 1
93 92 1
94 47 1
94 90 1
94 93 1
95 47 1
95 92 1
95 93 1
97 44 1
98 87 1
98 96 1
98 97 1
99 87 1
99 96 1
99 97 1
99 98 1
100 96 1
100 87 1
100 97 1
100 98 1
100 99 1
101 87 1
101 96 1
101 97 1
101 98 1
101 99 1
101 100 1
102 0 1
102 47 1
102 58 1
102 69 1
102 80 1
102 91 1
103 99 1
103 101 1
104 100 1
104 101 1
105 1 1
106 96 1
106 105 1
107 96 1
107 105 1
107 106 1
108 96 1
108 105 1
108 106 1
108 107 1
109 96 1
109 105 1
109 106 1
109 107 1
109 108 1
110 107 1
110 109 1
111 108 1
111 109 1
113 47 1
113 80 1
113 102 1
115 47 1
115 112 1
115 114 1
116 112 1
116 47 1
116 114 1
116 115 1
117 47 1
117 112 1
117 114 1
117 115 1
117 116 1
118 112 1
118 47 1
118 114 1
118 115 1
118 116 1
118 117 1
119 47 1
119 116 1
119 118 1
120 47 1
120 117 1
120 118 1
122 62 1
123 112 1
123 121 1
123 122 1
124 47 1
124 91 1
124 102 1
125 112 1
125 121 1
125 122 1
125 123 1
126 121 1
126 112 1
126 122 1
126 123 1
126 125 1
127 112 1
127 121 1
127 122 1
127 123 1
127 125 1
127 126 1
128 125 1
128 127 1
129 126 1
129 127 1
130 87 1
131 121 1
131 130 1
132 121 1
132 130 1
132 131 1
133 121 1
133 130 1
133 131 1
133 132 1
134 121 1
134 130 1
134 131 1
134 132 1
134 133 1
